,Ingredients,Amount,Measure,Item
780,"2 teaspoons finely chopped fresh rosemary, plus more for garnish",2 tsp.,teaspoon,finely chopped fresh rosemary
781,"1/2 teaspoon Aleppo pepper, or 1/4 to 1/2 teaspoon red-pepper flakes (optional)",0.5 tsp.,teaspoon,Aleppo pepper
782,Black pepper,,, Black pepper
783,"1 large shallot, finely chopped",1 ,unit,large shallot
784,"2 garlic cloves, finely chopped",,, 2 garlic cloves
785,1 cup heavy cream,1 cup,cup,heavy cream
786,1 (6-ounce) bag baby spinach,6 oz,ounce,bag baby spinach
787,12 ounces spaghetti or bucatini,12 oz,ounce,spaghetti or bucatini
788,1/2 cup finely grated Parmesan,0.5 cup,cup,finely grated Parmesan
789,"Lemon wedges, for serving",,, Lemon wedges
790,Kosher salt and black pepper,,, Kosher salt and black pepper
791,"1 pound long noodles, like linguine or spaghetti",1 lb,pound,long noodles
792,"3/4 cup crème fraîche, heavy cream or ricotta",0.75 cup,cup,crème fraîche
793,"3/4 cup freshly grated Parmesan (1 3/4 ounces), plus more for serving",0.75 cup,cup,freshly grated Parmesan ( 1 3/4 ounces )
794,1 tablespoon fresh lemon zest plus 3 tablespoons lemon juice (from 1 to 2 lemons),1 tbsp.,tablespoon,fresh lemon zest plus 3 tablespoons lemon juice ( from 1 to 2 lemons )
795,"1/4 to 1 1/2 ounces chives, cut into 1-inch pieces",0.25 oz,ounce,chives
796,Salt,,, Salt
797,"1 pound linguine, bucatini or spaghetti",1 lb,pound,linguine
798,2 cups whole milk,2 cup,cup,whole milk
799,1/4 cup doenjang (see Tip),0.25 cup,cup,doenjang ( see Tip )
800,2 tablespoons mirin,2 tbsp.,tablespoon,mirin
801,Freshly ground black pepper,,, Freshly ground black pepper
802,1/4 cup unsalted butter,0.25 cup,cup,unsalted butter
803,"Grated Parmesan, for serving",,, Grated Parmesan
804,12 ounces wide egg noodles,12 oz,ounce,wide egg noodles
805,Zest and juice of 2 lemons; zest cut in very thin strips 1 inch long,,, Zest and juice of 2 lemons; zest cut in very thin strips 1 inch long
806,1 cup heavy cream,1 cup,cup,heavy cream
807,"Kosher salt, to taste",,, Kosher salt
808,Lots of freshly ground black pepper,,, Lots of freshly ground black pepper
809,2 tablespoons unsalted butter,2 tbsp.,tablespoon,unsalted butter
810,1 cup cottage cheese (not low-fat),1 cup,cup,cottage cheese ( not low fat )
811,2 cups milk (not skim),2 cup,cup,milk ( not skim )
812,1 teaspoon dry mustard,1 tsp.,teaspoon,dry mustard
813,Pinch of ground cayenne,,, Pinch of ground cayenne
814,Pinch of ground nutmeg,,, Pinch of ground nutmeg
815,1/2 teaspoon kosher salt,0.5 tsp.,teaspoon,kosher salt
816,1/4 teaspoon black pepper,0.25 tsp.,teaspoon,black pepper
817,"1 pound sharp or extra-sharp Cheddar, grated",1 lb,pound,sharp or extra sharp Cheddar
818,"1/2 pound elbow pasta, uncooked",0.5 lb,pound,elbow pasta
819,"2 tablespoons olive oil, more as needed",2 tbsp.,tablespoon,olive oil
820,"1 shallot or small onion, chopped",1 ,unit,small onion
821,1 tablespoon minced garlic,1 tbsp.,tablespoon,minced garlic
822,"2 cups crimini, shiitake or button mushrooms, cleaned, trimmed and sliced",2 cup,cup,crimini
823,"1/2 pound cut pasta like gemelli or penne, or long pasta broken into bits",0.5 lb,pound,cut pasta like gemelli or penne
824,Salt and freshly ground black pepper,,, Salt and freshly ground black pepper
825,1/2 cup dry white wine or water,0.5 cup,cup,dry white wine or water
826,3 to 4 cups chicken or vegetable stock,3 cup,cup,chicken or vegetable stock
827,"2 boneless chicken thighs, diced",2 ,unit,boneless chicken thighs
828,"Chopped fresh parsley, optional",,, Chopped fresh parsley
829,"Freshly grated Parmesan, optional",,, Freshly grated Parmesan
830,Sea salt,,, Sea salt
831,10 slices smoked bacon or pancetta,10 ,unit,slices smoked bacon or pancetta
832,1 pound dried mini-shell or other small pasta,1 lb,pound,dried mini shell or other small pasta
833,2 tablespoons olive oil,2 tbsp.,tablespoon,olive oil
834,1 tablespoon butter,1 tbsp.,tablespoon,butter
835,Freshly ground black pepper,,, Freshly ground black pepper
836,2 cups frozen peas,2 cup,cup,frozen peas
837,2 tablespoons crème fraîche or heavy cream,2 tbsp.,tablespoon,crème fraîche or heavy cream
838,2 tablespoons finely chopped fresh mint leaves,2 tbsp.,tablespoon,finely chopped fresh mint leaves
839,Juice of 1 lemon,,, Juice of 1 lemon
840,6 ounces finely grated Parmesan cheese,6 oz,ounce,finely grated Parmesan cheese
841,1/3 cup vegan semisweet chocolate chips (about 2 ounces),0.333333 cup,cup,vegan semisweet chocolate chips ( about 2 ounces )
842,3 tablespoons vegan unsweetened cocoa powder,3 tbsp.,tablespoon,vegan unsweetened cocoa powder
843,"3 tablespoons creamy nut or seed butter, such as almond, sunflower or peanut",3 tbsp.,tablespoon,creamy nut or seed butter
844,Pinch of kosher salt,,, Pinch of kosher salt
845,"1 1/2 to 2 cups unsweetened nut or grain milk, such as macadamia, walnut, almond, cashew, hazelnut, oat or rice milk",1.5 cup,cup,unsweetened nut or grain milk
846,1 to 3 teaspoons granulated sugar (optional),1 tsp.,teaspoon,granulated sugar ( optional )
847,"3/4 teaspoon kosher salt, plus more as needed",0.75 tsp.,teaspoon,kosher salt
848,12 ounces thick Chinese wheat noodles,12 oz,ounce,thick Chinese wheat noodles
849,"1 (14-ounce) package firm tofu, broken into pieces",14 oz,ounce,package firm tofu
850,"2 garlic cloves, sliced",,, 2 garlic cloves
851,1/2 teaspoon granulated sugar,0.5 tsp.,teaspoon,granulated sugar
852,1/2 teaspoon five-spice powder,0.5 tsp.,teaspoon,five spice powder
853,"1/2 cup finely chopped cilantro leaves and tender stems, plus a few sprigs for serving",0.5 cup,cup,finely chopped cilantro leaves and tender stems
854,2 teaspoons sesame oil,2 tsp.,teaspoon,sesame oil
855,"Toasted white sesame seeds, for garnish",,, Toasted white sesame seeds
856,"2 tablespoons Chinkiang vinegar (black vinegar), or a combination of 4 teaspoons rice wine vinegar plus 2 teaspoons soy sauce",2 tbsp.,tablespoon,Chinkiang vinegar ( black vinegar )
857,1 tablespoon soy sauce,1 tbsp.,tablespoon,soy sauce
858,"1 tablespoon chile oil or chile crisp, such as Chiu Chow chile oil",1 tbsp.,tablespoon,chile oil or chile crisp
859,"1 scallion, finely chopped",1 ,unit,scallion
860,"1 (1/2-inch) piece fresh ginger, peeled and finely chopped",,, 1 (1/2 inch) piece fresh ginger
861,1/2 cup roughly chopped chives,0.5 cup,cup,roughly chopped chives
862,1/2 cup roughly chopped cilantro leaves and tender stems,0.5 cup,cup,roughly chopped cilantro leaves and tender stems
863,1/2 cup tightly packed basil leaves,0.5 cup,cup,tightly packed basil leaves
864,1/2 cup olive oil,0.5 cup,cup,olive oil
865,Squeeze of lemon,,, Squeeze of lemon
866,"Kosher salt, to taste",,, Kosher salt
867,2 tablespoons olive oil,2 tbsp.,tablespoon,olive oil
868,"2 garlic cloves, thinly sliced",,, 2 garlic cloves
869,"2 (15-ounce) cans white beans, like butter beans or cannellini, rinsed and drained",,, 2 (15 ounce) cans white beans
870,Kosher salt and black pepper,,, Kosher salt and black pepper
871,"1/2 cup chicken stock, vegetable stock or water",0.5 cup,cup,chicken stock
872,"Flaky salt, for serving (optional)",,, Flaky salt
873,Kosher salt (such as Diamond Crystal) and black pepper,,, Kosher salt (such as Diamond Crystal) and black pepper
874,"1 pound short curly pasta, such as cavatappi, fusilli or farfalle",1 lb,pound,short curly pasta
875,"1 large lemon, zested and juiced (about 1 tablespoon zest and 3 tablespoons juice)",1 ,unit,large lemon
876,"A heaping ¾ cup grated Parmesan, plus more as needed",,, A heaping ¾ cup grated Parmesan
877,"1/4 cup labneh or other thick, strained whole-milk yogurt, such as Greek or skyr, drained if necessary",0.25 cup,cup,labneh or other thick
878,"2 scallions, green and white parts, sliced",2 ,unit,scallions
879,"1 pound brussels sprouts (or cruciferous vegetables like broccoli, cauliflower or even cabbage)",1 lb,pound,brussels sprouts ( or cruciferous vegetables like broccoli
880,1 lemon,1 ,unit,lemon
881,1/4 cup extra-virgin olive oil,0.25 cup,cup,extra virgin olive oil
882,Kosher salt and black pepper,,, Kosher salt and black pepper
883,1/2 teaspoon red-pepper flakes,0.5 tsp.,teaspoon,red pepper flakes
884,1 (18-ounce) package shelf-stable or refrigerated potato gnocchi,18 oz,ounce,package shelf stable or refrigerated potato gnocchi
885,"6 tablespoons unsalted butter, sliced into 6 pieces",6 tbsp.,tablespoon,unsalted butter
886,1/2 teaspoon honey,0.5 tsp.,teaspoon,honey
887,"Freshly grated Parmesan, for serving",,, Freshly grated Parmesan
888,"3 (15-ounce) cans chickpeas, drained and rinsed",45 oz,ounce,cans chickpeas
889,1 large lemon,1 ,unit,large lemon
890,"4 tablespoons extra-virgin olive oil, plus more for serving",4 tbsp.,tablespoon,extra virgin olive oil
891,"1 1/4 teaspoons kosher salt (such as Diamond Crystal), plus more as needed",1.25 tsp.,teaspoon,kosher salt ( such as Diamond Crystal )
892,Freshly ground black pepper,,, Freshly ground black pepper
893,"6 garlic cloves, 2 thinly sliced, 4 minced",,, 6 garlic cloves
894,"1 large onion, diced",1 ,unit,large onion
895,"1 tablespoon fresh oregano, finely chopped",1 tbsp.,tablespoon,fresh oregano
896,"Pinch of red-pepper flakes, plus more for serving",,, Pinch of red pepper flakes
897,"12 ounces hardy winter greens, such as collards, kale or mustard greens, stems removed and roughly chopped",12 oz,ounce,hardy winter greens
898,1 quart vegetable or chicken stock,1 qt,quart,vegetable or chicken stock
899,1 cup crumbled feta or goat cheese (8 ounces),1 cup,cup,crumbled feta or goat cheese ( 8 ounces )
900,"1/4 cup parsley leaves, for serving",0.25 cup,cup,parsley leaves
901,"5 tablespoons neutral oil, such as grapeseed or sunflower, plus more as needed",5 tbsp.,tablespoon,neutral oil
902,"3 slices thick-cut bacon, in 1/2-inch pieces (about 3 ounces)",3 ,unit,slices thick cut bacon
903,"1 small bunch scallions, whites and greens separated, sliced",1 ,unit,small bunch scallions
904,4 cups shredded cabbage (from about 1/2 small head),4 cup,cup,shredded cabbage ( from about 1/2 small head )
905,Salt,,, Salt
906,"4 garlic cloves, minced",,, 4 garlic cloves
907,"6 cups cooked rice, white or brown, preferably day-old",6 cup,cup,cooked rice
908,"2 1/2 tablespoons fish sauce, plus more as needed",2.5 tbsp.,tablespoon,fish sauce
909,"1/2 tablespoon soy sauce, plus more as needed",0.5 tbsp.,tablespoon,soy sauce
910,"1/2 cup kimchi, drained and chopped, plus more for serving if you like",0.5 cup,cup,kimchi
911,"1/2 cup green peas (thawed, if frozen)",0.5 cup,cup,green peas ( thawed
912,"4 fried eggs, for serving (optional)",4 ,unit,fried eggs
913,"Toasted sesame oil, for drizzling (optional)",,, Toasted sesame oil
914,"2 tablespoons extra-virgin olive oil, plus more as needed",2 tbsp.,tablespoon,extra virgin olive oil
915,2 (12- to 18-ounce) packages shelf-stable or refrigerated potato gnocchi,,, 2 (12  to 18 ounce) packages shelf stable or refrigerated potato gnocchi
916,1/4 cup unsalted butter,0.25 cup,cup,unsalted butter
917,"4 garlic cloves, thinly sliced",,, 4 garlic cloves
918,"1/4 teaspoon red-pepper flakes, plus more for serving",0.25 tsp.,teaspoon,red pepper flakes
919,Kosher salt and black pepper,,, Kosher salt and black pepper
920,"2 pints small tomatoes, such as cherry, grape or Sungold",2 pt.,pint,small tomatoes
921,"1/4 cup thinly sliced or torn basil leaves (optional), plus more for serving",0.25 cup,cup,thinly sliced or torn basil leaves ( optional )
922,"8 ounces fresh mozzarella, cut or torn into 1/2-inch pieces",8 oz,ounce,fresh mozzarella
923,1 tablespoon vegetable oil,1 tbsp.,tablespoon,vegetable oil
924,"1 pound peeled and deveined shrimp, patted very dry",1 lb,pound,peeled and deveined shrimp
925,Kosher salt and ground black pepper,,, Kosher salt and ground black pepper
926,4 strips bacon,4 ,unit,strips bacon
927,3 ears corn,3 ,unit,ears corn
928,6 scallions,6 ,unit,scallions
929,"1 cup grape tomatoes, or 1 large chopped juicy tomato",1 cup,cup,grape tomatoes
930,4 cups cooked rice,4 cup,cup,cooked rice
931,"1 (14- to 16-ounce) package extra-firm or firm tofu, cut crosswise into 1-inch-thick slices",,,14.0 16 ounce ) package extra firm or firm tofu
932,"1 1/2 teaspoons kosher salt (Diamond Crystal), plus more as needed",1.5 tsp.,teaspoon,kosher salt ( Diamond Crystal )
933,"1/2 teaspoon freshly ground black pepper, plus more as needed",0.5 tsp.,teaspoon,freshly ground black pepper
934,"3 tablespoons extra-virgin olive oil, plus more for finishing",3 tbsp.,tablespoon,extra virgin olive oil
935,1 tablespoon cornstarch,1 tbsp.,tablespoon,cornstarch
936,1 teaspoon garlic powder (optional),1 tsp.,teaspoon,garlic powder ( optional )
937,1 teaspoon dried oregano,1 tsp.,teaspoon,dried oregano
938,"1 pint cherry tomatoes, halved if large, kept whole if small",1 pt.,pint,cherry tomatoes
939,"1 large red onion, cut into 1/4-inch wedges (about 2 cups)",1 ,unit,large red onion
940,"3 garlic cloves, thinly sliced",,, 3 garlic cloves
941,"1 1/2 teaspoons balsamic vinegar, plus more for finishing",1.5 tsp.,teaspoon,balsamic vinegar
942,"1/2 cup fresh cilantro or parsley leaves and tender stems, roughly chopped",0.5 cup,cup,fresh cilantro or parsley leaves and tender stems
943,"1 (14-ounce) block firm or extra-firm tofu, drained",14 oz,ounce,block firm or extra firm tofu
944,"3 tablespoons neutral oil, such as grapeseed, vegetable or canola, plus more as needed",3 tbsp.,tablespoon,neutral oil
945,Kosher salt and black pepper,,, Kosher salt and black pepper
946,"3/4 pound snap peas, trimmed",0.75 lb,pound,snap peas
947,"1 (2-inch) piece fresh ginger, peeled and grated (about 2 tablespoons)",,, 1 (2 inch) piece fresh ginger
948,"2 garlic cloves, grated",,, 2 garlic cloves
949,1 (13-ounce) can unsweetened coconut milk (light or full-fat),13 oz,ounce,can unsweetened coconut milk ( light or full fat )
950,1 tablespoon soy sauce,1 tbsp.,tablespoon,soy sauce
951,"2 teaspoons molasses, dark brown sugar or honey",2 tsp.,teaspoon,molasses
952,1/2 cup toasted cashews,0.5 cup,cup,toasted cashews
953,1 tablespoon rice vinegar,1 tbsp.,tablespoon,rice vinegar
954,"4 scallions, trimmed and thinly sliced",4 ,unit,scallions
955,"1/4 cup mint leaves, torn if large",0.25 cup,cup,mint leaves
956,1/2 to 1 teaspoon red-pepper flakes (optional),0.5 tsp.,teaspoon,red pepper flakes ( optional )
957,"Rice or any steamed grain, for serving",,, Rice or any steamed grain
958,"1 small red onion, thinly sliced",1 ,unit,small red onion
959,Kosher salt,,, Kosher salt
960,1/4 cup cornstarch,0.25 cup,cup,cornstarch
961,"1 (14-ounce) package extra-firm tofu, patted dry and torn into 1-inch pieces (see Tip)",14 oz,ounce,package extra firm tofu
962,"1/4 cup neutral oil (such as canola or grapeseed), plus more as needed",0.25 cup,cup,neutral oil ( such as canola or grapeseed )
963,"About 1 1/2 pounds green or red cabbage, cored and cut into 1-inch pieces, leaves separated",,, About 1 1/2 pounds green or red cabbage
964,"1 tablespoon low-sodium soy sauce or liquid aminos, plus more to taste",1 tbsp.,tablespoon,low sodium soy sauce or liquid aminos
965,"1 tablespoon coriander seeds, crushed",1 tbsp.,tablespoon,coriander seeds
966,1/2 cup coarsely chopped cilantro leaves and stems,0.5 cup,cup,coarsely chopped cilantro leaves and stems
967,2 tablespoons lime juice (from 1 large lime),2 tbsp.,tablespoon,lime juice ( from 1 large lime )
968,Kosher salt and black pepper,,, Kosher salt and black pepper
969,3 bunches scallions (about 12 ounces),3 oz,ounce,)
970,3 tablespoons extra-virgin olive oil,3 tbsp.,tablespoon,extra virgin olive oil
971,1 pound medium shells pasta,1 lb,pound,medium shells pasta
972,1 cup finely grated Parmesan,1 cup,cup,finely grated Parmesan
973,3/4 cup crème fraîche,0.75 cup,cup,crème fraîche
974,"1 lemon, zested (about 2 teaspoons zest), then quartered",1 ,unit,lemon
975,1 cup frozen peas,1 cup,cup,frozen peas
976,1 tablespoon whole cumin seeds,1 tbsp.,tablespoon,whole cumin seeds
977,2 teaspoons Sichuan or regular peppercorns,2 tsp.,teaspoon,Sichuan or regular peppercorns
978,1 pound boneless lamb,1 lb,pound,boneless lamb
979,1 teaspoon ground cumin,1 tsp.,teaspoon,ground cumin
980,3/4 teaspoon kosher salt,0.75 tsp.,teaspoon,kosher salt
981,4 to 8 dried red chiles (or substitute 1/2 teaspoon or more crushed red pepper),4 tsp.,teaspoon,or more crushed red pepper )
982,1 large white onion,1 ,unit,large white onion
983,"1 bunch (about 8) scallions, trimmed",1 bunch,bunch,( about 8) scallions
984,2 tablespoons peanut oil,2 tbsp.,tablespoon,peanut oil
985,"3 large garlic cloves, finely chopped",3 ,unit,large garlic cloves
986,1 1/2 tablespoons soy sauce,1.5 tbsp.,tablespoon,soy sauce
987,1 1/2 tablespoons Chinese cooking sherry (Shaoxing rice wine) or dry sherry,1.5 tbsp.,tablespoon,Chinese cooking sherry ( Shaoxing rice wine ) or dry sherry
988,"2 cups fresh cilantro, leaves and stems",2 cup,cup,fresh cilantro
989,"Rice, for serving",,, Rice
990,1 tablespoon tamari or soy sauce,1 tbsp.,tablespoon,tamari or soy sauce
991,"1 tablespoon shaoxing rice wine (or dry sherry, mirin or white wine)",1 tbsp.,tablespoon,shaoxing rice wine ( or dry sherry
992,1/2 teaspoon kosher salt,0.5 tsp.,teaspoon,kosher salt
993,"1 (14-ounce) package extra-firm tofu, drained and cut into ¾-inch cubes",14 oz,ounce,package extra firm tofu
994,3 tablespoons potato starch or cornstarch,3 tbsp.,tablespoon,potato starch or cornstarch
995,2 tablespoons ground cumin,2 tbsp.,tablespoon,ground cumin
996,"2 teaspoons gochugaru (Korean red chile flakes), red-pepper flakes or Sichuan chile flakes",2 tsp.,teaspoon,gochugaru ( Korean red chile flakes )
997,1/2 teaspoon granulated sugar,0.5 tsp.,teaspoon,granulated sugar
998,1/2 teaspoon kosher salt,0.5 tsp.,teaspoon,kosher salt
999,Vegetable or other neutral oil,,, Vegetable or other neutral oil
1000,"1 onion, finely sliced",1 ,unit,onion
1001,"1 (1/2- to 1-inch) red chile, such as serrano (or jalapeno), sliced diagonally (seeds removed if you like less heat)",,, 1 (1/2  to 1 inch) red chile
1002,"1 (1-inch) piece of ginger, peeled and finely chopped",,, 1 (1 inch) piece of ginger
1003,"1 garlic clove, finely chopped",,, 1 garlic clove
1004,"10 1/2 ounces cauliflower, cut into bite-size florets (about 3 ½ cups)",10.5 oz,ounce,cauliflower
1005,Big handful of cilantro leaves,,, Big handful of cilantro leaves
1006,1 tablespoon toasted white sesame seeds,1 tbsp.,tablespoon,toasted white sesame seeds
1007,Kosher salt,,, Kosher salt
1008,"Rice, for serving",,, Rice
1009,Kosher salt (such as Diamond Crystal),,, Kosher salt (such as Diamond Crystal)
1010,1 1/2 pounds fresh udon noodles (vacuum-sealed),1.5 lb,pound,fresh udon noodles ( vacuum sealed )
1011,"1 tablespoon neutral oil, such as grapeseed or canola",1 tbsp.,tablespoon,neutral oil
1012,"1 yellow onion, peeled and cut into 1-inch chunks",1 ,unit,yellow onion
1013,"3 medium Yukon Gold potatoes, peeled and cut into 1-inch chunks",3 ,unit,medium Yukon Gold potatoes
1014,"3 medium carrots, peeled and cut into 1-inch chunks",3 ,unit,medium carrots
1015,6 cups vegetarian dashi (see Tip) or vegetable stock,6 cup,cup,vegetarian dashi ( see Tip ) or vegetable stock
1016,2 teaspoons soy sauce or tamari,2 tsp.,teaspoon,soy sauce or tamari
1017,1 teaspoon granulated sugar,1 tsp.,teaspoon,granulated sugar
1018,4 handfuls baby spinach leaves (about 5 ounces),4 oz,ounce,)
1019,6 tablespoons unsalted butter,6 tbsp.,tablespoon,unsalted butter
1020,1/3 cup all-purpose flour,0.333333 cup,cup,all purpose flour
1021,2 tablespoons Japanese curry powder (such as S&B),2 tbsp.,tablespoon,Japanese curry powder ( such as S&B )
1022,1 tablespoon garam masala,1 tbsp.,tablespoon,garam masala
1023,1/2 teaspoon ground cayenne,0.5 tsp.,teaspoon,ground cayenne
1024,3 1/2 tablespoons sweet paprika,3.5 tbsp.,tablespoon,sweet paprika
1025,1 teaspoon garlic powder,1 tsp.,teaspoon,garlic powder
1026,2 teaspoons cinnamon,2 tsp.,teaspoon,cinnamon
1027,3 tablespoons ground coriander,3 tbsp.,tablespoon,ground coriander
1028,1 tablespoon plus 1 teaspoon ground turmeric,1 tbsp.,tablespoon,plus 1 teaspoon ground turmeric
1029,1 tablespoon ginger powder,1 tbsp.,tablespoon,ginger powder
1030,1/2 tablespoon ground cardamom,0.5 tbsp.,tablespoon,ground cardamom
1031,2 1/2 teaspoons ground allspice,2.5 tsp.,teaspoon,ground allspice
1032,"8 chicken thighs, approximately 3 pounds",8 ,unit,chicken thighs
1033,Kosher salt and freshly ground black pepper to taste,,, Kosher salt and freshly ground black pepper to taste
1034,2 tablespoons spice mix,2 tbsp.,tablespoon,spice mix
1035,1/3 cup extra-virgin olive oil,0.333333 cup,cup,extra virgin olive oil
1036,3 Roma tomatoes,3 ,unit,Roma tomatoes
1037,"1 head cauliflower, cut into bite-size florets",1 head,head,cauliflower
1038,"1 large white onion, diced",1 ,unit,large white onion
1039,"3 cloves garlic, diced",3 clove,clove,garlic
1040,1 tablespoon grated fresh ginger,1 tbsp.,tablespoon,grated fresh ginger
1041,1 pinch saffron,1 pinch,pinch,saffron
1042,1 tablespoon tomato paste,1 tbsp.,tablespoon,tomato paste
1043,"2 cups chicken stock, homemade or low-sodium",2 cup,cup,chicken stock
1044,"3 tablespoons preserved lemons, approximately 2 lemons, roughly chopped",3 tbsp.,tablespoon,preserved lemons
1045,"1 cup green olives, like Castelvetranos",1 cup,cup,green olives
1046,"1/2 bunch cilantro, leaves picked and stems discarded.",0.5 bunch,bunch,cilantro
1047,3/4 cup safflower or canola oil,0.75 cup,cup,safflower or canola oil
1048,16 large sage leaves,16 ,unit,large sage leaves
1049,4 ounces zucchini (1 small),4 oz,ounce,zucchini ( 1 small )
1050,"1 pound delicata squash (about 1 large), scrubbed, halved lengthwise and seeded (skin left on)",1 lb,pound,delicata squash ( about 1 large )
1051,"1 cup fresh corn kernels (from 1 to 2 ears), or thawed from frozen",1 cup,cup,fresh corn kernels ( from 1 to 2 ears )
1052,1/2 cup thinly sliced scallions (from 2 to 3 scallions),0.5 cup,cup,thinly sliced scallions ( from 2 to 3 scallions )
1053,1 teaspoon minced garlic,1 tsp.,teaspoon,minced garlic
1054,"1 large egg, beaten",1 ,unit,large egg
1055,Kosher salt and black pepper,,, Kosher salt and black pepper
1056,3/4 cup (105 grams) all-purpose flour,0.75 cup,cup,( 105 grams ) all purpose flour
1057,1 teaspoon baking powder,1 tsp.,teaspoon,baking powder
1058,"1/4 cup neutral oil, such as safflower or canola",0.25 cup,cup,neutral oil
1059,1/2 cup finely chopped yellow onion,0.5 cup,cup,finely chopped yellow onion
1060,1/2 cup finely chopped celery,0.5 cup,cup,finely chopped celery
1061,1/2 cup finely chopped green bell pepper,0.5 cup,cup,finely chopped green bell pepper
1062,Kosher salt (Diamond Crystal) and black pepper,,, Kosher salt (Diamond Crystal) and black pepper
1063,"8 ounces cremini mushrooms, trimmed and finely chopped",8 oz,ounce,cremini mushrooms
1064,1 tablespoon minced garlic,1 tbsp.,tablespoon,minced garlic
1065,2 cups long-grain white rice,2 cup,cup,long grain white rice
1066,2 teaspoons Cajun seasoning,2 tsp.,teaspoon,Cajun seasoning
1067,3 cups store-bought or homemade mushroom broth,3 cup,cup,store bought or homemade mushroom broth
1068,"1 (15-ounce can) black-eyed peas, rinsed and drained",15 oz,ounce,) black eyed peas
1069,"1/2 cup thinly sliced scallions, plus more for garnish",0.5 cup,cup,thinly sliced scallions
1070,"Hot sauce, for serving",,, Hot sauce
1071,Kosher salt (Diamond Crystal),,, Kosher salt (Diamond Crystal)
1072,"6 ounces thin dried wheat, egg or rice noodles",6 oz,ounce,thin dried wheat
1073,1 tablespoon sesame oil,1 tbsp.,tablespoon,sesame oil
1074,"1 (2-inch) piece ginger, grated",,, 1 (2 inch) piece ginger
1075,"2 garlic cloves, peeled and grated",,, 2 garlic cloves
1076,1 teaspoon ground turmeric,1 tsp.,teaspoon,ground turmeric
1077,6 cups vegetable stock,6 cup,cup,vegetable stock
1078,2 tablespoon white miso paste,2 tbsp.,tablespoon,white miso paste
1079,16 ounces frozen dumplings (not thawed),16 oz,ounce,frozen dumplings ( not thawed )
1080,"4 baby bok choy (about 12 ounces), trimmed and each cut into 4 pieces through the stem",4 oz,ounce,)
1081,"1 small head broccoli (about 9 ounces), cut into bite-size florets",1 ,unit,small head broccoli ( about 9 ounces )
1082,"Handful of cilantro or chopped scallions, for serving",,, Handful of cilantro or chopped scallions
1083,1/2 cup extra-virgin olive oil,0.5 cup,cup,extra virgin olive oil
1084,3/4 cup panko bread crumbs,0.75 cup,cup,panko bread crumbs
1085,Kosher salt and black pepper,,, Kosher salt and black pepper
1086,1/2 cup finely chopped yellow onion (from 1 small onion),0.5 cup,cup,finely chopped yellow onion ( from 1 small onion )
1087,"3 garlic cloves, minced",,, 3 garlic cloves
1088,"1 1/2 pounds eggplant, peeled and cut into ½-inch cubes (8 cups)",1.5 lb,pound,eggplant
1089,2 tablespoons tomato paste,2 tbsp.,tablespoon,tomato paste
1090,"1 (28-ounce) can whole tomatoes, crushed with your hands in a bowl",28 oz,ounce,can whole tomatoes
1091,"1 basil sprig, plus ⅓ cup coarsely chopped basil leaves",1 ,unit,basil sprig
1092,1/4 teaspoon dried oregano,0.25 tsp.,teaspoon,dried oregano
1093,"1 pound short pasta, such as mezze rigatoni, fusilli or shells",1 lb,pound,short pasta
1094,2 tablespoons freshly grated Parmigiano-Reggiano,2 tbsp.,tablespoon,freshly grated Parmigiano Reggiano
1095,"8 ounces fresh mozzarella, thinly sliced and at room temperature",8 oz,ounce,fresh mozzarella
1096,6 tablespoons extra-virgin olive oil,6 tbsp.,tablespoon,extra virgin olive oil
1097,"1 pound eggplant (about 2 small eggplants), cut into 1-inch cubes (about 7 cups)",1 lb,pound,eggplant ( about 2 small eggplants )
1098,Kosher salt and black pepper,,, Kosher salt and black pepper
1099,"1 pound green zucchini or yellow squash, halved lengthwise and sliced into 1/4-inch-thick half-moons (about 5 cups)",1 lb,pound,green zucchini or yellow squash
1100,1 pound mezze rigatoni or any short pasta,1 lb,pound,mezze rigatoni or any short pasta
1101,8 ounces crumbled feta (about 1 1/2 cups),8 oz,ounce,crumbled feta ( about 1 1/2 cups )
1102,1/4 cup chopped fresh dill,0.25 cup,cup,chopped fresh dill
1103,3 tablespoons extra-virgin olive oil,3 tbsp.,tablespoon,extra virgin olive oil
1104,"1 large yellow onion, finely chopped",1 ,unit,large yellow onion
1105,"1 large Yukon Gold potato (about 8 ounces), peeled and diced into ½-inch cubes",1 ,unit,large Yukon Gold potato ( about 8 ounces )
1106,Kosher salt (Diamond Crystal),,, Kosher salt (Diamond Crystal)
1107,1 teaspoon ground turmeric,1 tsp.,teaspoon,ground turmeric
1108,"1 teaspoon Aleppo pepper, plus more to taste",1 tsp.,teaspoon,Aleppo pepper
1109,1/2 teaspoon black pepper,0.5 tsp.,teaspoon,black pepper
1110,1 tablespoon tomato paste,1 tbsp.,tablespoon,tomato paste
1111,3/4 cup green or brown lentils,0.75 cup,cup,green or brown lentils
1112,"1/3 cup chopped cilantro, leaves and tender stems, plus more as garnish",0.333333 cup,cup,chopped cilantro
1113,"2 teaspoons dried fenugreek leaves, crushed between your fingers (optional) (see Tip)",2 tsp.,teaspoon,dried fenugreek leaves
1114,3 large eggs,3 ,unit,large eggs
1115,"Flatbread, for serving",,, Flatbread
1116,2 cups all-purpose flour,2 cup,cup,all purpose flour
